Campaign Name,Campaigner,Date of Submission,Urgency,List,Notes,Approval Date
Consultation on the Religious Education Core Syllabus (DRAFT),cjoyce@citizengo.net,2026-08-31,Urgent Campaign (30 days to 2026-09-30),EN GB,Draft generated by parl-monitor,
GENERAL INFORMATION
Type of Campaign,[CAMPAIGNER: Survival / Obligatory / Opportunity]
What is the key point of injustice that is at stake here?,"A minister gave nearly a hundred thousand people his word in writing. The part of that promise that cost him nothing, keeping Christianity nominally central, has been kept. The part that actually protects a family, a clear and practical right to withdraw their own child, has not appeared, and the consultation has been scoped so it cannot even be raised inside it. Meanwhile the first encounter a four-year-old in a Northern Irish school has with religion will no longer simply be the faith of their own family."
PROMPTS FOR AI - PREPARE PHASE
What are some arguments supporting our point of view?,"The Minister's commitment is documented and was made in direct response to our petition. We are not asking for a new concession, only for one already given.

The Supreme Court required RE to be objective, critical and pluralistic. It did not require the removal of a parental opt-out. A robust withdrawal right is in fact how such judgments are ordinarily reconciled with parents' rights under the European Convention, so asking for it strengthens rather than resists compliance.

The Drafting Group has read the judgment as requiring pluralism from Foundation Stage onward. Nothing in the judgment compels that, and the age at which comparative content begins is a legitimate matter for this consultation.

Children form a secure understanding of their own tradition before they can meaningfully compare it with others. Introducing multiple worldviews at four does not produce critical thinking. It produces confusion.

Parents, not the Department, are the primary educators of their children. That is the principle we are defending."
Why is it urgent that we take action now?,"The consultation closes at 11:59am on 30 September 2026. Once it closes, the syllabus goes forward to be made as statutory content, and the chance to secure a withdrawal provision on the face of it is gone. There is no second consultation."
Describe a bad outcome if we do not win this campaign:,"The syllabus is made with no withdrawal provision on its face and no published arrangements. Parents who object are left relying on old statute and individual school discretion, which in practice means the opt-out exists on paper and is difficult to exercise. Comparative worldview teaching begins at four. And our own supporters learn that a ministerial commitment secured by a hundred thousand signatures can quietly go unfulfilled, which damages every future campaign we run in Northern Ireland."
Describe a good outcome if we do win this campaign:,"Withdrawal arrangements are published alongside the syllabus in terms a parent can actually use, comparative content starts no earlier than Key Stage 2, and the promised oversight arrangements are set out. We will have shown something more valuable than a single policy change: that CitizenGO follows through, that a commitment made to our members is a commitment we come back and collect on, and that Northern Ireland is ground we hold rather than visit."
Which sources do you want to include? Please provide the titles plus URLs:,https://consultations.nidirect.gov.uk/de/re-syllabus-consultation/ | https://parl-monitor-partner.vercel.app/mp-votes.html
What should the image for this campaign look like?,"A young child, four or five years old, sitting close to a parent with an open children's Bible between them, warm domestic light. The feeling should be of something small and precious being handed on within a family. Avoid classroom imagery, and avoid anything that reads as anti-Muslim or anti-Jewish. This campaign is about who decides what a small child is taught first, not about other faiths."
RED FOX FOUR
PLAN STAGE,,,,EVALUATE STAGE,,
#,Question,"Scoring 
(-10 to +10)",Comments,"Scoring
(-10 to +10)",Delta,Comments
RF#1,"Win or lose, just by fighting this fight, will it bring people or money to our cause?",,"Comparable campaigns on this topic - Say No to Labour’s ‘Summer of Sex’: 15,004 new / 68,223 sigs (22.0% acquired) | Demand Sadiq Khan's Resignation: Failing London and Ignoring: 13,810 new / 100,504 sigs (13.7% acquired) | Stop BBC Trans Indoctrination of Children: 5,474 new / 51,027 sigs (10.7% acquired). Topic lifetime: 62 campaigns, 74,761 new members, median acquisition 4.5%. Baseline logged 2026-08-13.",,,
RF#2,"Win or lose, just by fighting this fight, will it help our friends or allies?",,5CA not available for devolved items - populate manually.,,,
RF#3,"Win or lose, just by fighting this fight, will it hurt our enemies and their allies?",,Opponent organisations are not tracked by the monitor; campaigner's knowledge.,,,
RF#4/1,What's the gain for freedom and our values if we win?,,"If we win: see 'good outcome' above. Score the value, not the odds.",,,
RF#4/2,What's the cost to freedom and our values if we lose?,,If we lose: see 'bad outcome' above. Usually 0 unless losing accelerates harm.,,,
TOTAL IF WE WIN,,0,,0,0,
TOTAL IF WE LOSE,,0,,0,0,
RF#1 NUMERICAL EXPECTATION
Metric,,Expected (Plan),Baseline (evidence),Actual (Evaluate),Delta,Comments
Expected signatures,,,"comparable campaigns: median 25,069 (p25 14,438, p75 33,873, n=36). 26 sub-100-signature row(s) excluded as templates or dormant petitions. (Looker holds 18 on a different basis.)",,,
Expected new members,,,"comparable campaigns: median 1,300 (p25 376, p75 2,147, n=36). 26 sub-100-signature row(s) excluded as templates or dormant petitions. (Looker holds 18 on a different basis.)",,,
Expected EUR raised,,,"Looker (email-campaign attributed): median EUR 1,254 (p25 764, p75 1,540, n=17). 1 sub-3000-signature Looker row(s) excluded as test sends or list segments, not campaigns. 1 campaign(s) started on or after 2026-02-01 excluded: donation attribution is incomplete from that date (EUR 2.29 per 1,000 signatures against 53 before it), so their signatures count but their money cannot. One-time donations only; monthly is a separate column and much smaller.",,,
TIMELINE OF MAJOR ACTIONS
Date,Action,Comment
2026-09-30,Deadline,consultation
[CAMPAIGNER],Launch,
EVALUATE DASHBOARD
Emails Bluebook link related to this campaign,
Number of total emails sent for this campaign,
Total Signatures,
New List Members,
Reactivated Members,
Acquired %,
Total € raised,
Total € spent,
Cost of the offline actions,
Asana link related to this campaign,
Asana link to the Evaluate task,
Google Doc link to the wording copy package,
Political impact evaluation,
Did you win the political fight?,
Did the media talk about the campaign?,
Did any politician talk about the campaign?,
Did you deliver the signatures?,
How did you deliver the signatures?,
Was it a good decision to run this campaign?,
"Which good practices, if any, can we drawn from this campaign and repeat in future campaigns?",
"Which improvement areas can you identify in this campaign, so that we can do better in future campaigns?",
Which specific conclusions can you draw analyzing data of this campaign?,
Top 3 Sources of New Members (by channel & % of total),
Social Media Strategy in One Line,
Top 5 signature sources (% each) and Top 5 new list member sources (% each),
"Paid vs. Organic: spend, signups, cost per paid signup, and most efficient channel",
Best-performing post: link + why it worked + one transferable learning,
Political impact: how social media was used to increase pressure or influence decision-makers?,
Other comments,
Moving forward,
"For more information on how to fill out or interpret this document, check the Campaigns Brief Cheat Sheet"

CAMPAIGN NARRATIVE
"Used when a campaign is selected for an Evaluation Meeting, or whenever the campaigner wants the fuller story on record. Compile in chronological order and in low-context communication: the reader will know far less than you, possibly years later."

Date,What happened / what we decided,"Why, and what it changed"
,,
,,
,,
,,
,,

Prompts (delete what does not apply): campaign actions online and offline; decisions made and their rationale; data analysis; reports on offline activities; breaking news that changed the scenario; reactions by stakeholders; the campaign's outcome.
